Title,Year_x,Certificate,Duration,Genre_x,Rating,Metascore_x,Director_x,Cast,Votes,Description,Review Count,Review Title,Review,Poster,Year_y,Rated,Genre_y,Runtime,Plot,Actors,Metascore_y,Director_y,imdbRating,imdbVotes,Awards,Country,Language,BoxOffice
Slither,2008.0,A,95.0,"Comedy, Horror, Sci-Fi",6.5,69.0,James Gunn,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson","89,006","A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",334,An homage to everything,"James Gunn wrote Slither as an homage to the horror movies he loved. Every single one of them. From the Deadly Swarm, to The Fly, to the Toxic Avenger, to Basket Case, to some films most people wouldn't know much about.The film is about a loving husband (though noticeably not the best. His love for his wife is one of his better sides) who is stung by an alien insect. He starts mutating into a squid beast while slug like monsters Terrorize a small town where cell phones don't exist.It's obvious from the previews that this is a bit of a comedy. You'll be surprised at just how suspenseful it really is. The horror ranges from cheap pop-outs, hilarious gore, and heart pounding action in a genre bending film that is like Tremors for adults.The movie is well acted, and all the actors have such great chemistry together. While the movie isn't an excellent film, those looking for a good time have nothing to complain about. It keeps the audiences entertained like few other movies can.","https://m.media-amazon.com/images/M/MV5BZDJjNWE1MzYtZjlkYy00YmRmLWIyMWUtN2JmNDA2MDg2NzY4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg",2006,R,"Comedy, Horror, Sci-Fi",95 min,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.","Nathan Fillion, Elizabeth Banks, Michael Rooker",69,James Gunn,6.5,"89,709",2 wins & 5 nominations,"United States, Canada",English,"$7,802,450"
The Out-Laws,2008.0,A,95.0,"Action, Comedy, Crime",5.4,36.0,Tyler Spindel,"Adam Devine, Pierce Brosnan, Ellen Barkin, Nina Dobrev","36,116","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",240,On a scale of zero it'd be a minus infinity,"Devine is truly one of the most annoying, talentless so called actors ever. He literally destroys anything he's in with his non changing, whining, simpering man child performance bordering on mental illness. He's that awful. Brosnan and Barkin must really owe someone to be in this celluloid abomination. We watched 30 minutes without cracking a smile. I truly pity anyone that genuinely found this funny because it deals with some of the most annoying, irritating characters in the history of cinema. It's just as bad as that other trash wedding movie with JLo a couple of months ago. If I could spare just one person from watching this nightmarish exercise in the lowest form of entertainment then I've done my due diligence here in helping my fellow man. Avoid with everything you have.","https://m.media-amazon.com/images/M/MV5BM2JmMmE0NjYtODUzNS00ZDg2LTk2ZjMtNDBiNjhlMGU2NjJlXkEyXkFqcGdeQXVyMTQ4NTgxNzYx._V1_UY209_CR0,0,140,209_AL_.jpg",2023,R,"Action, Comedy, Crime",95 min,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","Adam Devine, Pierce Brosnan, Ellen Barkin",36,Tyler Spindel,5.4,"37,768",1 nomination,United States,English,N/A
The Prince of Tides,2008.0,A,132.0,"Drama, Romance",6.8,65.0,Barbra Streisand,"Barbra Streisand, Nick Nolte, Blythe Danner, Kate Nelligan","19,801",A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,114,Don't judge it by its cover,"I avoided this movie because I did not care to see a romance involving Barbra Streisand and Nick Nolte.  When we finally rented the movie, it turned out to be so, so much more.  An incredibly intense film.  I was never of fan of Nolte, but what a tremendous performance!  It moves me to tears every time I watch this film.  I am amazed the IMD reviewers give it such a low rating.","https://m.media-amazon.com/images/M/MV5BOGQ4NjlhZTktOTBlMi00OTE1LTk1MTAtMDExODY2NzRiZDIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR1,0,140,209_AL_.jpg",1991,R,"Drama, Romance",132 min,A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,"Barbra Streisand, Nick Nolte, Blythe Danner",65,Barbra Streisand,6.8,"20,168",Nominated for 7 Oscars. 3 wins & 18 nominations total,United States,English,"$74,787,599"
He's All That,2008.0,13,88.0,"Comedy, Romance",4.4,36.0,Mark Waters,"Addison Rae, Tanner Buchanan, Madison Pettis, Rachael Leigh Cook","28,767","A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That.'",799,THE ONLY GOOD ACTING IN THIS MOVIE WAS FROM THE HORSE!!!!!,"What was this movie? Didn't even make sense one bit. Terrible acting from Addison. The scene transitions, the angles, the story line, the gen Z infested bs & the random dance off lmao.. it was a hot mess!!! I was looking forward to this all week and it was a big let down. DO NOT WATCH.","https://m.media-amazon.com/images/M/MV5BYzM3NmYyMTItZWY5My00MTQzLWFmMzEtOTc2ZjRkMDJkYWM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",2021,TV-14,"Comedy, Romance",88 min,"A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That.'","Addison Rae, Tanner Buchanan, Madison Pettis",36,Mark Waters,4.4,"29,281",N/A,United States,"English, Ukrainian",N/A
Midway,2008.0,A,138.0,"Action, Drama, History",6.7,47.0,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans","94,640","The story of the Battle of Midway, told by the leaders and the sailors who fought it.","1,105",Account of Crucial Naval Battle in Emmerich Style,"This film is a straightforward retelling of the events in the first months of the War in the Pacific beginning with Pearl Harbor and culminating in the Battle of Midway (June 1942). In between, it also touched on Doolittle's Raid on Tokyo (April 1942) and the Battle of Coral Sea (May 1942). The story was told mainly from the point of view of two American soldiers, namely pilot Lt. Dick Best (Ed Skrein) who led his dive bomber squadron at Midway, and intelligence officer Lt. Comm. Edwin Layton (Patrick Wilson) who with his code-breaker team predicted the Midway attack.Along the way, we meet other famous American soldiers: Admiral Chester Nimitz (Woody Harrelson) Commander in Chief of the US Pacific Fleet; Vice Admiral William ""Bull"" Halsey (Dennis Quaid) who led the aircraft carrier USS Enterprise; Rear Admiral Raymond Spruance (Jake Weber) who took over the Enterprise for the Battle of Midway; Best's fellow aviators Lt. Comm. Wade McClusky (Luke Evans), Lt. Comm. Eugene Lindsey (Darren Criss) and Lt. Comm. Jimmy Doolittle (Aaron Eckhart); cryptographer Commander Joseph Rochefort (Brennan Brown) and Aviation Machinist Mate Bruno Gaido (Nick Jonas).The side of the Japanese Imperial Army and their unique military culture were also given fair screen time in this film. Admiral Isoroku Yamamoto (Etsushi Toyokawa) of the Imperial Japanese Navy and the Commander in Chief of their combined fleet, was portrayed with calm and quiet dignity. We also get to meet other Japanese officers and their own brands of leadership Rear Admiral Tamon Yamaguchi (Tadanobu Asano) who commanded the Hiryu with nobility, and Vice Admiral Chuichi Nagumo (Jun Kunimura) whose controversial battle decisions had negative impact against the Japanese campaign.The execution of the critical battle scenes are the main draws to watch this film. Director Roland Emmerich will always be remembered as the man who brought us ""Independence Day"" (1996) and ""2012"" (2009). Of course, there are big explosions and massive destruction here as well. The massive scenes showing fiery exploding seacraft and aircraft were rendered with crisp cinematography and meticulous visual effects to create impressive screen spectacles. The aviation scenes, particularly the dive bomber runs by Dick Best, were excellently staged, shot and edited to elicit an exhilarating rush.For its 2 hours 18 minute run, the story of the crucial naval battles and the heroism of its real-life protagonists were front and center here in ""Midway."" There were no fictional characters or cheesy love stories like in the first ""Midway"" film or ""Pearl Harbor."" While seeing some popular young actors like Criss or Jonas can be distracting, the all-star cast generally rendered honor and respect to the heroes they portrayed. Focusing on soldiers of lesser rank allowed for some intimate personal drama in actual battle situations, perhaps with not much depth as possible. As this movie is rated PG, so do not expect to see graphic injuries at the level of ""Saving Private Ryan.""","https://m.media-amazon.com/images/M/MV5BYzA5Y2Q2YjktZDYwMi00NTdmLThlMjctMmY5NDgwOWRhZDUxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",2019,PG-13,"Action, Drama, History",138 min,"The story of the Battle of Midway, told by the leaders and the sailors who fought it.","Ed Skrein, Patrick Wilson, Woody Harrelson",47,Roland Emmerich,6.7,"96,232",1 nomination,"United States, Canada, China, Hong Kong","English, Japanese, Mandarin","$56,846,802"
Little Shop of Horrors,2008.0,UA,94.0,"Comedy, Horror, Musical",7.1,81.0,Frank Oz,"Rick Moranis, Ellen Greene, Vincent Gardenia, Levi Stubbs","86,567",A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,210,An off-beat delight,"No, not the black & white Roger Corman jewel featuring Jack Nicholson, though I suppose I'd watch that one again too. I'm talking about the 1986 color musical with Rick Moranis and Audrey II by way of Frank Oz. Like I tell my friends about  ""Babe,"" I love a film with a Greek chorus. In this one, the chorus consists of three Motownish women singers, Crystal, Chiffon and Ronette. I'll watch this film again, just to hear them sing one line: ""TO ÃÂ TAL ÃÂ E ÃÂ CLIPSE ÃÂ OF ÃÂ THE ÃÂ SUN!"" This is an all-singing, all-dancing science fiction black comedy that features human misery, a sadistic dentist, a masochistic patient, casual murder, girlfriend abuse, and a blood-sucking alien house plant monster. It's hilarious from beginning to end. And the music is outstanding.","https://m.media-amazon.com/images/M/MV5BYzUxZDI3MjktZmM4YS00MzdjLWE5MzctMmI4M2ViMDgxMmUzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",1986,PG-13,"Comedy, Horror, Musical",94 min,A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,"Rick Moranis, Ellen Greene, Vincent Gardenia",81,Frank Oz,7.1,"87,760",Nominated for 2 Oscars. 2 wins & 14 nominations total,United States,English,"$39,032,001"
Robin Hood,2008.0,UA,116.0,"Action, Adventure, Drama",5.3,32.0,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson","79,594",A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,"1,133",I wanted to like it. I couldn't manage it.,"If anyone reads this, it's likely because you're either reading a bunch of reviews because you can't decide if a ticket is worth it, or you hated it and are reading all the 1 star reviews so you can say ""thank you"" multiple times when you read a criticism you agree with. If you're the latter, welcome, you're among friends. If you're the former, I'm not going to tell you that you shouldn't see or love this movie, clearly some people do, I'm just going to lay out why I can't.It's built on clichÃÂ©s and one-liners, and scenes seem to be written around setting that up, if they set it up at all. Even in the credits, next to the actors name and icon, the most dramatic quotes their character had is written next to them. Most of the lines are written to serve the drama as opposed to being substantive or sensible. There's even a scene with a mildly villainous character doing the maniacal laugher ended by angry scream with the dramatic music in the background, and it literally comes out of nowhere. There was no set up for that character doing that, and it made the whole thing feel silly. Imagine a play built only on the soliloquies of Shakespearean tragedies mixed with every clichÃÂ© about love giving strength in despair, but lacking any real sense of plot or structure. That is this film.Also, the action sequences are filmed like an over the top modern war movie. There's literally a slo-mo scene where some of the characters are driving away from an explosion. I'm not saying there's no place for that in a period movie, but it was executed lazily and without much thought about how to do that and do justice to the combat of the time period.Basically this is just a standard subpar action movie with a Robin Hood skin. Splashy effects and dialogue with no effort given to make it cohesive or new or worthwhile. I'm usually the person in a group who's more forgiving of bad movies than others are, but I just can't with this one. I kept trying to enjoy it throughout the movie, and it felt like it was fighting me the whole time.","https://m.media-amazon.com/images/M/MV5BNTRhODA2M2QtNTgwNi00ZWUyLTlhMDQtN2M2OGEwNTU3NGRjXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",2010,PG-13,"Action, Adventure, Drama",140 min,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","Russell Crowe, Cate Blanchett, Matthew Macfadyen",53,Ridley Scott,6.6,"285,919",1 win & 14 nominations,"United States, United Kingdom","English, French, Ukrainian","$105,269,730"
Fractured,2008.0,16,99.0,"Drama, Mystery, Thriller",6.5,36.0,Brad Anderson,"Sam Worthington, Lily Rabe, Lucy Capri, Adjoa Andoh","92,794","A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.",911,A very solid thriller.,"Firstly, ignore the bad reviews.This movie is a solid thriller. Great acting and interesting idea. It will keep you guessing until the end.You could do a lot worse than watch this on Netflix.Recommended.","https://m.media-amazon.com/images/M/MV5BZTE0MWE4NzMtMzc4Ny00NWE4LTg2OTQtZmIyNDdhZjdiZmJhXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UY209_CR1,0,140,209_AL_.jpg",2019,TV-MA,"Drama, Mystery, Thriller",99 min,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.","Sam Worthington, Lily Rabe, Lucy Capri",36,Brad Anderson,6.5,"96,925",3 nominations,United States,English,N/A
Payback,2008.0,A,100.0,"Action, Crime, Drama",7.1,46.0,Brian Helgeland,"Mel Gibson, Gregg Henry, Maria Bello, David Paymer","145,911","After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money.",412,It's just plain mean!,"Payback, while admittedly one of the more violent movies out this year, was definitely an entertaining flick.Like the promo catch phrase says, this time you'll root for the bad guy.  If Gibson's character has any redeeming qualities, they are on a very short list.  Porter (Gibson) is violent, at times even cruel and the other characters aren't much better; some are worse.  Every character is from the wrong side of the tracks, even the cops are on the take and there are no punches pulled.  The only character you can really feel is a ""good guy"" is Rose, the stereotypical Callgirl with a heart of gold (although it's maybe only 10 karat, not a real 24 karat heart).Nevertheless, you will root for Porter.  Frankly, I don't think anyone else could have pulled off this role and still kept the support of the audience like Gibson did, but then he generally always plays the good guy with a twist.  This time, the twist is a little more savage than usual.All in all, if you enjoy the occasional violent romp on the big screen and you're a fan of Mel Gibson; Payback is worth seeing.","https://m.media-amazon.com/images/M/MV5BN2YxYTUyMTItYmU4ZS00OTIzLWIwMWQtMDY3NzRiMmIyMWMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",1999,R,"Action, Crime, Drama",100 min,"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money.","Mel Gibson, Gregg Henry, Maria Bello",46,Brian Helgeland,7.1,"147,331",2 wins & 2 nominations,United States,English,"$81,526,121"
Ghost Ship,2008.0,A,91.0,"Horror, Mystery, Thriller",5.6,28.0,Steve Beck,"Julianna Margulies, Gabriel Byrne, Ron Eldard, Desmond Harrington","109,188","A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",445,The Soul Collector,"The savage team of a tug is ready to rest after the transportation of a platform. When they are celebrating in a bar, the plane pilot Jack Ferriman (Desmond Harrington) offers them the chance of rescuing a passenger vessel vanished in the oceans in 1962. Captain Sean Murphy (Gabriel Byrne), Maureen Epps (Julianna Margulies) and the rest of the crew, tempted by the possibility of a great reward, decides to risk one more rescue operation before going home. Their greed leads them, of course, to a ghost ship, where they are spooked and threatened by ghosts. One of them, a little girl, shows Epps what happened to the passengers and crew during the voyage in 1962. A horrible unraveled secret will haunt the rest of the crew. Ghost stories usually take place in a haunted house. This one is in a passenger ship. This movie is not in the same level of 'The Others', 'The Shining' or 'The Sixth Sense', but is also good film. The screenplay play has some clichÃÂ©s and is predictable, but the cast, direction and special effects work well. Probably, the fans of romances will not like it, but those who like a ghost story will appreciate this film. My vote is eight.Title (Brazil): ""Navio Fantasma"" (""Ghost Ship"")Note: On 02 June 2017, I saw this film again.","https://m.media-amazon.com/images/M/MV5BMTM3NTA4NDIwMF5BMl5BanBnXkFtZTYwNTc4NDE3._V1_UY209_CR0,0,140,209_AL_.jpg",2002,R,"Horror, Mystery, Thriller",91 min,"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.","Julianna Margulies, Gabriel Byrne, Ron Eldard",28,Steve Beck,5.6,"110,646",1 nomination,"United States, Australia","English, Italian, Spanish","$30,113,491"
Revolutionary Road,2008.0,16,119.0,"Drama, Romance",7.3,69.0,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie","225,258",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,411,"A beautiful, well-crafted Masterpiece. One of the best of the decade","Revolutionary Road is not a very joyful film, or is it easy to watch. Instead of being simply entertaining, it achieves what not many films these days do. It wants to be a learning lesson.This film is superbly crafted, in both the writing and the amazing direction by Sam Mendes. After his great film 'American Beauty', he comes back with strong will to do this project. His direction is the best of the year for sure. It feels so professional, so alive. The writing, both of the characters, Frank and April Wheeler, I feel they are so open and 3-dimensional characters, but the screenplay wants to let us inside their lives, and it does so with great passion. Leonardo Dicaprio plays Frank with such intensity, with such force. Dicaprio gives his best performance here without a doubt, since I don't really think he has ever done something like this before. Then there is Kate Winslet. My favorite actress, and certainly one of the most talented out there. Winslet has surprised me before in a lot of movies, but here, she surprises me in a whole other way. Her silent, unlikeable, and sometimes human and cold portrayal of April Wheeler is one of the best performances of the decade. She gives the best female performance of the year, and I truly hope she finally wins the Oscar she deserves.The film itself is so beautiful, so alive, yet at the same time, so dark to what the film is about. The cinematography is amazing, as well as the costumes and the whole set designs. The music, the original score, was so unsettling, perfectly balanced to what each scene brought.Revolutionary Road is not a film for everyone. I can definitely see some critics will hate it, but it should certainly be respected, for its ambition, for the things it accomplishes and every thing it portrays. I think this is Mendes' masterpiece. I have not seen a better made film this year.","https://m.media-amazon.com/images/M/MV5BMTczNDgzMjczOV5BMl5BanBnXkFtZTcwOTU3MzMwMg@@._V1_UY209_CR0,0,140,209_AL_.jpg",2008,R,"Drama, Romance",119 min,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald",69,Sam Mendes,7.3,"227,005",Nominated for 3 Oscars. 20 wins & 73 nominations total,"United Kingdom, United States",English,"$22,911,480"
The Hurt Locker,2008.0,A,131.0,"Drama, Thriller, War",7.5,95.0,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce","474,330","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",725,The Brilliant Explosion Of Kathryn Bigelow,"I spent the entire film grabbing the arms of my seat. I was there in Irak, steps away from my death and the death of those around me. The tension, the suspense is at times breathtaking, literally. ""The Hurt Locker"" is a miracle and the definitive consecration of a great filmmaker, Kathryn Bigelow. This is also a rare occasion in which I went to see the film without having read a single review or knowing anything about it. One should try to do that more often because the impact of the surprise translates into pure pleasure and in this case, sometimes, you have to look away from the unmitigated horror. Jeremy Renner is a real find. He is superb. A kind soul, wild man with enough arrogance to make him appear reckless and yet his humanity precedes him. People may commit the mistake of avoiding this gem thinking that it's just a war film. Don't. It isn't. It's a great, engrossing film about human emotions, not to be missed.","https://m.media-amazon.com/images/M/MV5BYWYxZjU2MmQtMmMzYi00ZWUwLTg2ZWQtMDExZTVlYjM3ZWM1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",2008,R,"Drama, Thriller, War",131 min,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","Jeremy Renner, Anthony Mackie, Brian Geraghty",95,Kathryn Bigelow,7.5,"477,680",Won 6 Oscars. 125 wins & 130 nominations total,"United States, Luxembourg","English, Arabic","$17,017,811"
Rookie of the Year,2008.0,PG,103.0,"Comedy, Family, Fantasy",6.1,53.0,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton","31,033","When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.",49,More Like 'Disappointment of the Year',"I love sports movies and especially ones with nice characters, especially nice kids, ones that set good examples for others. So, call me old-fashioned or whatever else you want, but this film was stupid. Maybe if you're kid, you wouldn't think so, but adults - stay away.As for kids, I found way too many ""OMGs"" in this film, both by the mother and the 12-year- old kid (played by Thomas Ian Nicholas). This was actor Daniel Stern's directorial debut and he promised publicly to make ""safe family films."" That's great, but this isn't a great start. ""Oh my gosh,"" said by the kid would have but a better and smarter example to set to other kids than the other blasphemes. We also see early '90s Hollywood ""fad"" of having a mother literally punch out her boyfriend. That's ""safe family fare?"" I am tired of Hollywood's PC-feminist baloney of showing women acting tough like Mike Tyson. It just ain't so.The one good part in this film was the role played by Gary Busey. At least he played someone who was a good role model.","https://m.media-amazon.com/images/M/MV5BZGJhODAwNDQtNGY0My00ZDA4LTgwOTMtMTA5NzdhZTQ0YmIwXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX140_CR0,0,140,209_AL_.jpg",1993,PG,"Comedy, Family, Fantasy",103 min,"When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.","Thomas Ian Nicholas, Gary Busey, Albert Hall",53,Daniel Stern,6.1,"31,386",1 win & 1 nomination,United States,English,"$53,615,089"
Girls on Film,2008.0,,97.0,"Drama, Romance, Thriller",4.6,,Robin Bain,"Dare Taylor, Willow Grey, Donnie Marhefka, Liz Bash","1,258","After being evicted from her home for filming illicit content on an adult website, a sexy cam girl moves into a luxurious desert mansion where she is seduced into an erotic yet toxic relationship with a lonely, disturbed heiress.",10,One of the best LGBTQ+/lesbian romance stories,"Calling this movie sexy is actually counterintuitive. It is sexy, but it is so much more and probably one of the best LGBTQ+/lesbian romance stories I've ever seen. We don't often get treated to a love story that builds from the ground up like this. I felt the tension and love between the characters and was captivated by what might happen next between them. From the moment they locked eyes when they first meet next to Blake's fabulous pool until the last moments of the film. It is a very honest look into a queer love story between two women. I'm going to spread the word in the queer community. It's a much watch.","https://m.media-amazon.com/images/M/MV5BOWYzMmNkM2YtNDQxYS00ZWMzLTg2ODctY2NhZTJlZDFlMjA0XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",2023,TV-MA,"Drama, Romance, Thriller",97 min,"After being evicted from her home for filming illicit content on an adult website, a sexy cam girl moves into a luxurious desert mansion where she is seduced into an erotic yet toxic relationship with a lonely, disturbed heiress.","Dare Taylor, Willow Grey, Donnie Marhefka",N/A,Robin Bain,4.7,"2,696",N/A,United States,English,N/A
House of 1000 Corpses,2008.0,A,89.0,Horror,6.0,31.0,Rob Zombie,"Sid Haig, Karen Black, Bill Moseley, Sheri Moon Zombie","93,591",Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.,896,A revival of true horror,"Its sad that a film as wonderfully made as this is so grossly misunderstood.
Let me say this right off that bat. If you're idea of a horror film is I know What You Did Last Summer and you consider Scream and The Exorcist to be the most shocking films ever made, this is not a film for you. If you havent seen I Spit on Your Grave, Evil Dead, Texas Chainsaw Massacre, Dawn of the Dead or Last House on the Left, this is not a film for you. If you've never listened to ""Living Dead Girl"" or ""Superbeast"" this is not a film for you.Now having said that, this is a film for me. It is a film for true horror fans, the kind that stay up and watch Dawn of the Dead and The Beyond, who know who Lucio Fulci and Dario Argento and George Romero are. This is a film that was meant to be seen by people like this and will only be enjoyed by people like this. This is not exactly mainstream stuff here. Only a small percentage of people enjoy this stuff, and for those people, this film is a true rivival of classic exploitive horror.Rob Zombie has created a homage to 1970's exploitation/horror films, and he has been extremly successful in achieving that goal. The film borrows largely from Texas Chainsaw Massacre and Last House on the Left, with his own little bits of original demential thrown in and an assortment of other horror film references. The film tells the tale of four teenagers who are terrorized and tortured by a bizarre southern family living in a remote farmhouse in 1977. The film uses all sorts of camera tricks--negative colouring, split-screens and seemingly random inserts of grainy snuff-like footage of various S&M and gore images; the off-the-wall effect is similar to what Oliver Stone did in Natural Born Killers. The film is not about plot, or about characters. Its purpose is to shock and disturb, to serve no other function than to entertain through exploitation and disgusting and bizarre violence. Just as you think the limits of weirdness are approaching, Zombie takes the film a step farther, and before long you surrender yourself to the mercy of the film and just accept things for what they are. The film has the feeling of an out of control freight train being piloted by a madman and the climax of the film is truly bizarre. The reviewers who wrote the film off as overly-sadistic with little in the ways of character development, plot or suspence have come to see a different kind of film, perhaps more at home with titles like The Sixth Sense or Silence of the Lambs. The have no busineness debasing a great film like this.Rob Zombie has created a film that is both a homage and derivative at the same time; most things in the film have been done before, in one shape or another, and the level of gore is a fraction of what was intended, due to its shameful R-rating. To see the inevitable Unrated Directors Cut on video is going to be a true horror experience.But this film is something has hasnt been seen in decades and it has been made with the utmost care that only a true horror fan could provide. It is a film made by horror fans for horror fans, a true labor of love by Mr. Zombie, despite some flaws. If you arent sitting the theater going ""hey, theres Bill Mosely from TCM 2!"" or ""hey, that shot is a homage to the cover of Evil Dead!"" or ""hey, he wears peoples skin like Leatherface!"" then you probably arent meant to be seeing this film. But for those who are, the film is a true gem and a rarity; it is a kind of film that hasnt been seen on the screens in over twenty years and probably wont be for another twenty years. Get out there and enjoy this rare experience while you still can.An instant cult-hit.Grade: AFor true horror fans only. Everyone else just wont get it.","https://m.media-amazon.com/images/M/MV5BNjUyNjU0NDE0OV5BMl5BanBnXkFtZTYwNzcwMzg3._V1_UY209_CR0,0,140,209_AL_.jpg",2003,R,Horror,89 min,Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.,"Sid Haig, Karen Black, Bill Moseley",31,Rob Zombie,6.0,"94,630",4 wins & 8 nominations,United States,English,"$12,634,962"
Mud,2008.0,UA,130.0,"Adventure, Drama",7.4,76.0,Jeff Nichols,"Matthew McConaughey, Tye Sheridan, Jacob Lofland, Sam Shepard","189,050",Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,278,Wow,"This is a movie that stays with you. It's a real movie about people, and a place--not car chases and explosions. I don't agree with the mixed reviews and complaints about the length of the movie. Matthew McConnahey is well-cast. All of the actors do a good work; Reese Witherspoon, Sam Sheppard. Tye Sheridan and Jacob Lofland do a great job playing the child characters. The Mississippi river is like a character in the movie, which evokes Huckleberry Finn, as others have noted. The settings are magnificent. In a sea of manufactured movies, it's nice to see something that was crafted by human beings. I would recommend this movie to those who are interested.The audience in the theater I was in seemed absorbed.","https://m.media-amazon.com/images/M/MV5BMTU2MzcyODgyNV5BMl5BanBnXkFtZTcwNTc4MDYwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",2012,PG-13,"Adventure, Drama",130 min,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,"Matthew McConaughey, Tye Sheridan, Jacob Lofland",76,Jeff Nichols,7.4,"191,243",15 wins & 39 nominations,United States,English,"$21,590,086"
